req.url,count(*)
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10952/users,76
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10866,116
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10637/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,59
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-12054,108
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10521/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,23
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12054/users,72
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10521/users,66
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10548/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,12
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12200/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,15
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10521,99
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-12252,128
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10759/calls/614c1ee3a5c01f0019264d23,1
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12252/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=50&is_complete=false,28
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-12252/users,76
/v/dev-0.0/tenants/smartpatcher/subtenants?id=praxis-10548,36
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10548/users,24
/v/dev-0.0/tenants/smartpatcher/subtenants/praxis-10908/calls?start_time=2018-01-01T00:00:00.000Z&end_time=2021-09-23T23:59:59.999Z&size=125&is_complete=false,23
